,accuracy,precision,recall,f1,specificity,roc_auc,false_positives,false_negatives,fit_seconds,predict_seconds
Logistic Regression,0.9221556886227545,0.9362549800796812,0.9108527131782945,0.9233791748526522,0.934156378600823,0.968816792675535,16,23,2.736,0.001
Naive Bayes,0.9201596806387226,0.9224806201550387,0.9224806201550387,0.9224806201550387,0.9176954732510288,0.9690560500207355,20,20,0.012,0.002
Random Forest,0.906187624750499,0.9236947791164659,0.8914728682170543,0.9072978303747534,0.9218106995884774,0.9683701789644941,19,28,12.422,0.035
Neural Network,0.9141716566866267,0.924901185770751,0.9069767441860465,0.9158512720156555,0.9218106995884774,0.9597728650269561,19,24,3.658,0.005
